"","type","stratcat","group","est","slope","pval","std_err_slope","tval","adj_r2","sig","sigpos","signeg"
"p1.29","YEAR","GOMstrat","Squid_BT","90.7085075310738",-0.0446914193725119,0.0502291197372951,"0.0220996451987844","-2.02226863691777",0.0734046560127222,0,0,0
"p1.30","YEAR","GOMstrat","Northern_shrimp","-70.0384905457246",0.0356402125904408,0.023111711829995,"0.014980525444551","2.37910297087773",0.11750165304244,1,1,0
"p1.31","YEAR","GOMstrat","Shrimp_BT","-0.755764508954252",0.000414169975887972,0.832082443942768,"0.00193380429468611","0.214173676739713",-0.0366326647128521,0,0,0
"p1.32","YEAR","MABstrat","","-10087790.534339",5199.20308571569,0.210807359178313,"4080.82746141289","1.27405609153482",0.0165647422574254,0,0,0
"p1.33","YEAR","MABstrat","euphausiid","-10841.2126843439",5.76267470531486,0.559299500521637,"9.77782599072451","0.589361552433177",-0.0179559999194585,0,0,0
"p1.34","YEAR","MABstrat","lg_zoop","-893217.439076376",454.390554447801,0.0918251774191113,"262.341686652208","1.73205623645393",0.0512825087643037,0,0,0
"p1.35","YEAR","MABstrat","shrimp","-1088976.6412357",550.304366801705,0.0128123888045778,"210.087971280702","2.61939968979201",0.136749490212948,1,1,0
"p1.36","YEAR","MABstrat","sm_zoop","1469252.31017587",-661.684984517597,0.658640691928144,"1485.33169043183","-0.445479611577685",-0.0221431544586832,0,0,0
"p1.37","YEAR","MABstrat","Clupeid","-14.4575692728294",0.00935125132989193,0.894962727048992,"0.0703429068483543","0.132938085001966",-0.0265367160683043,0,0,0
"p1.38","YEAR","MABstrat","Flatfish","38.5789572584044",-0.0186693560662818,0.0566829528005794,"0.00948994681799526","-1.9672772065361",0.0702267431885678,0,0,0
"p1.39","YEAR","MABstrat","Large_Gadid","-3.34748064950548",0.00171741520529539,0.709159295399817,"0.00453926502138098","0.378346537865924",-0.0425382357311788,0,0,0
"p1.40","YEAR","MABstrat","Meso_pelagic","-1.43474916757756",0.000723674213144878,0.0831155612131967,"0.000406318750406047","1.78105049895356",0.0540708270022454,0,0,0
"p1.41","YEAR","MABstrat","Misc_Fish","245.619408139865",-0.120160761337886,0.0297766766976418,"0.053161438473588","-2.26029928436916",0.0975790794199165,1,0,1
"p1.42","YEAR","MABstrat","Sandlance","-6.80868802027481",0.00346402408953345,0.554933472754287,"0.00580160106582291","0.597080711036809",-0.0211979151271904,0,0,0
"p1.43","YEAR","MABstrat","Scombrid","20.7025207084104",-0.0100090708265905,0.725108799873551,"0.0282484920163425","-0.354322305799543",-0.0235540170571449,0,0,0
"p1.44","YEAR","MABstrat","Small_Gadid","-26.6053277334189",0.0148369313068124,0.682572897461783,"0.0359946796480993","0.412197898463472",-0.0223323908263104,0,0,0
"p1.45","YEAR","MABstrat","Squid_BT","-16.0975661318275",0.0117151963052003,0.806014499044199,"0.0473652469198677","0.247337384834497",-0.0253317440220233,0,0,0
"p1.46","YEAR","MABstrat","Shrimp_BT","-1.82783501981367",0.000929187302583427,0.396229540425166,"0.0010795702147493","0.860701128920276",-0.00843157993390786,0,0,0
"p1.47","YEAR","SNEstrat","","-21016799.767741",10632.6809412295,0.0704631066744917,"5712.76019730898","1.86121604513315",0.0594278826999668,0,0,0
"p1.48","YEAR","SNEstrat","euphausiid","-48198.5363564184",24.8567974598728,0.103884401078161,"14.9176844818167","1.66626378847006",0.043565235955777,0,0,0
"p1.49","YEAR","SNEstrat","lg_zoop","453538.63425459",-219.768223658853,0.273444367093363,"197.767440391296","-1.11124572995447",0.00598618244096505,0,0,0
"p1.50","YEAR","SNEstrat","shrimp","-104823.483402987",53.0246430215023,0.114096407678644,"32.7868841560319","1.61725166591493",0.0397755249481312,0,0,0
"p1.51","YEAR","SNEstrat","sm_zoop","771643.489102111",-276.402267664425,0.932997970546634,"3265.9161694789","-0.0846323828662532",-0.0261223751209327,0,0,0
"p1.52","YEAR","SNEstrat","Clupeid","-20.8049162831165",0.0111894795969426,0.705650227068,"0.0293968187021012","0.380635731720957",-0.0230211097135338,0,0,0
"p1.53","YEAR","SNEstrat","Flatfish","56.9754274661394",-0.0254956143055992,0.510096924549916,"0.0383321943121949","-0.665122745073014",-0.0148925258192647,0,0,0
"p1.54","YEAR","SNEstrat","Large_Gadid","-179.235258997179",0.0903137454960011,0.104107431978344,"0.0541234513855192","1.66866197893959",0.0472266663206481,0,0,0
"p1.55","YEAR","SNEstrat","Meso_pelagic","-0.113237640874756",6.02671069204796e-05,0.787515284349217,"0.00022193317502954","0.271555196344386",-0.0256767864439948,0,0,0
"p1.56","YEAR","SNEstrat","Misc_Fish","718.417291412102",-0.354196965491895,0.000769236756865186,"0.09662088488546","-3.66584269965837",0.246605800999608,1,0,1
"p1.57","YEAR","SNEstrat","Sandlance","4.99413754997399",-0.00248380836325583,0.172903939880167,"0.00177749373244795","-1.39736546909516",0.0307770372467673,0,0,0
"p1.58","YEAR","SNEstrat","Scombrid","15.3347351198053",-0.00756112326355882,0.511989630519536,"0.0114193516061738","-0.662132450626261",-0.015000115579,0,0,0
"p1.59","YEAR","SNEstrat","Small_Gadid","107.905468507844",-0.0511784167164478,0.276916889082578,"0.0463764329752781","-1.10354361974604",0.0056991368451782,0,0,0
"p1.60","YEAR","SNEstrat","Squid_BT","-22.2211032213723",0.0185323788972443,0.817374450315288,"0.0796840195298499","0.232573344148409",-0.0255278062527291,0,0,0
"p1.61","YEAR","SNEstrat","Shrimp_BT","0.0627513051988738",-3.07666236308488e-05,0.607978076403546,"5.76352899387004e-05","-0.53381571713392",-0.0863058901275982,0,0,0
